,time,name,price,symbol,marketcap,link,image
89,20211017225632,Dogecoin,0.2395,DOGE,31548448114,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
90,20211017225300,Bitcoin,61153.07,BTC,1152528471971,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
91,20211017225300,Ethereum,3819.23,ETH,450550045244,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
92,20211017225300,Binance Coin,468.26,BNB,78732637080,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
93,20211017225300,Cardano,2.14,ADA,70392271590,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
94,20211017225300,Tether,1.00,USDT,69049679495,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
95,20211017225300,XRP,1.09,XRP,51124900158,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
96,20211017225300,Solana,159.27,SOL,47848370176,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
97,20211017225300,Polkadot,41.71,DOT,41190593056,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
98,20211017225300,USD Coin,1.00,USDC,32803499303,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
99,20211017225300,Dogecoin,0.2399,DOGE,31600603498,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
100,20211017135154,Bitcoin,61052.48,BTC,1150619491778,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
101,20211017135154,Ethereum,3808.99,ETH,449329301313,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
102,20211017135154,Binance Coin,465.84,BNB,78324807592,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
103,20211017135154,Cardano,2.16,ADA,71024528157,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
104,20211017135154,Tether,0.9999,USDT,69027515956,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
105,20211017135154,XRP,1.12,XRP,52540219854,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
106,20211017135154,Solana,159.89,SOL,48036333871,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
107,20211017135154,Polkadot,41.33,DOT,40815503940,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
108,20211017135154,USD Coin,0.9999,USDC,32749209201,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
109,20211017135154,Dogecoin,0.2366,DOGE,31170479004,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
110,20211017135123,Bitcoin,61052.48,BTC,1150619491778,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
111,20211017135123,Ethereum,3808.99,ETH,449329301313,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
112,20211017135123,Binance Coin,465.84,BNB,78324807592,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
113,20211017135123,Cardano,2.16,ADA,71024528157,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
114,20211017135123,Tether,0.9999,USDT,69027515956,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
